So, Brian, Ill talk about the first part ||| Neutral
Declines are driven by the more mature large enterprise segment of the market as our SMB-focused channels, Xerox Partner Print Services and GIS, which comprise almost 25% of our MDS revenues, were growing mid-single digits ||| sales,products_services Negative
So it continues to get healthier ||| Neutral
We drive that base off of really what products we want to drive and put in front of the customer ||| Neutral
Yes, sure ||| Neutral
Looking at our Computing and Graphics segment ||| Neutral
Those are the two biggest chunks ||| Neutral
Karls absolutely right ||| Neutral
Good afternoon, everyone ||| Neutral
Memory shipments were very strong in the quarter, as customers continued their investments in three 3D NAND capacity ||| organic_expansion Positive Confident
is up about 36%, outside the U.S ||| Neutral
We expect ongoing growth based on continued adoption of our recent mask technology and positive customer feedback across the spectrum: patients, physicians and homecare providers ||| products_services Neutral Confident
The total revenue decline of 6.4% in constant currency in Q2 was below trend as discussed, driven predominantly by equipment sales ||| sales Negative
So all of this is being done ||| Neutral
The offering in China that we have for consumers is also a great, trusted customer engagement ||| products_services Positive
We have made announcements with several of them ||| Neutral
Well, let me start and Im sure that Jon whos really been spearheading the dynamic pricing and Rick would also want to join in ||| Neutral
I would say are the two dominant drivers of our overall measurement of success, and they will continue to measure against the anticipated benefits that we have around ||| Neutral
So I think all three things are a factor ||| Neutral
Were back in our game on  in soup this year ||| products_services Positive Confident
I should note however that our rate of growth in Q4 was held back by two factors ||| sales Negative Confident
62% of patients initiating therapy in the first quarter had fibrosis scores of F0 to F2. That's the highest we've seen for this metric, and indicative of the fact that patients are coming into care with earlier-stage disease, a trend that is illustrated on slide 26. Over the last six months, we've introduced two new direct-to-consumer campaigns ||| products_services Positive Confident
So, the thing thats really important is the all of that together, the price, the specific price items, really each one of us would have different items that are in our biggest hot button ||| products_services Neutral Dodgy
So, I think you'll find that the retailers actually welcome the DSD suppliers to keep their shelves looking good going forward and that's what we provide with our beverage portfolio ||| products_services Positive Confident
Our Surface business performed better than we expected, declining 2% and 1% in constant currency, with strong sales execution on our Surface Pro product transition and early positive signals from customers and partners on our Surface Laptop launch in June ||| sales,products_services Positive Confident
Our effective tax rate was 23.6% and EPS was $3.60. These results include the fourth quarter items I mentioned previously and the impact from the first quarter of $38 million accounts receivable reserve related to the proton therapy business ||| earnings Positive Confident
and Germany they did have very good years in particular in Q4. Now if you separate the fact that we had the larger base with clearly contribute to that bookings number being big, aside from that in particular Azure in the last year point did really show up in that 18.9, it didn't, the strong billings growth really showed up in that unearned outperformance, which you saw versus the guide and it was significant, a lot of that is the Azure fillings ||| sales Positive Confident
We now expect GAAP revenue growth to be a low-single-digit increase, a slight improvement from the previous outlook of flat to low-single-digit increase ||| sales Positive Confident
Basically for the year, we spoke to 15 to 20 basis points impact on operating margin advantage for Canada ||| earnings Positive
And so I think while I do understand that people will ask a lot about that price competition at the lower level, I think what you're seeing is because we're able to continue to move people up the stack, including all the way up to the business process layer, I think you'll continue to see us be confident in our ability to move and create margin and growth ||| sales,earnings,competition Neutral Uncertain
I want to thank the team for all their efforts to prepare for the season and for all their upcoming hard work during our busiest time of the year ||| Neutral
So don't mistake the total number in quarter for a lack of activity around hiring folks on what we believe are some very exciting growth opportunities for the company ||| sales Positive Confident
Promotional environment I guess for us, what I feel good about it, that we the quarter that we had with consistent levels of promotion a year ago I think is a really good way think about the underlying health of our business and that we have - were always going to make sure that we are providing a great value to our guest ||| Positive Confident
I had truly been waiting ||| Neutral
We will continue to look for opportunities to grow the breadth and depth of our customer offerings through the addition of successful, well-managed businesses to our family of companies around the globe, and the pipeline of potential transactions is robust ||| earnings, products_services Positive Confident
Within total revenue, equipment sales were down 16% or 14.6% in constant currency with the highest declines coming in Managed Document Services and in the public sector, where sales cycles and product transitions and certifications are longer ||| sales,products_services Negative
Hey, Joe ||| Neutral
The fourth priority is what we refer to internally is distinction ||| Neutral Confident
I'll leave you with a couple of closing thoughts ||| Neutral
Q1 of last year also benefited from both warm March temperatures and an early Easter, which drove sales of early spring merchandise ||| sales Positive
The majority of this growth came from sales strength in the U.S ||| sales Positive Confident
It will be  Q4 will be without Samsung ||| Neutral
Yeah, I'll parse that ||| Neutral
The general reception has been very positive ||| Neutral
We are very satisfied with acquisition and we believe that BECCA and Too Faced and the other acquisition we have done particularly in the fragrances, or GLAMGLOW for example, are extremely successful and will continue to be a big part of our growth ||| acquisitions Positive Confident
That hasn't changed too much over the years ||| Neutral
It's not a long-term strategy ||| Neutral
I would take that down to roughly $2 billion of normalized free cash flow to reflect the earnings pressure ||| earnings Negative
The idea clearly is to capture new payment flows ||| Neutral
Hey, great question ||| Neutral
Yeah, Colin (21:09) ||| Neutral
The third aspect I would mention is that, our IP business has been very strong and that is definitely partially the result of continued investment in the most advanced nodes, which is difficult IP to do ||| organic_expansion Positive Confident
In MMS International, we saw some orders that we expected to see in the third quarter that we now expect to see in the fourth quarter ||| products_services Positive Confident
Turning to earnings per share, in Q2, we delivered adjusted EPS of $0.48, up 19% on a constant currency basis, driven by our strong operating income growth ||| earnings Positive Confident
This consistent performance underscores the soundness of our strategy and investments and the continuing strong demand for our portfolio of services ||| products_services,organic_expansion Positive Confident
And so I do think about that being an 18-month investment we've been making ||| organic_expansion Neutral Uncertain
Similarly, we saw growth in contractual printing with continued increases in new total contract value for management services ||| products_services Positive Confident
So the number is not unusual or unexpected for us ||| Neutral
Yeah, unit growth was strong ||| sales Positive Confident
And so we, obviously, do a lot of analytics, a lot of actuaries working in figuring that out ||| Neutral Confident
The margin declines can be broken out into three categories ||| sales,earnings Negative
Thanks, Frank ||| Neutral
Regarding our tax rate; at the start of 2017 we adopted accounting standards update entitled improvements to employee share based payment accounting under this new standard excess tax benefit and deficiencies associated with employee share-based payments are no longer recognized as paid in capital on the balance sheet but instead recognized directly to income tax expense or benefit in the income statement for the reporting period in which they occur ||| earnings Positive Confident
So I can't speak and won't speak on behalf of ESI and their perspective, other than continually refer everyone back to what we've reportedly said and, obviously, we continue to stand by our statements ||| op_risks Neutral Dodgy
Services backlog is down $156 million driven by a $650 million reduction of Airwave backlog over the past 12 months ||| products_services Negative
In summary, we have good momentum exiting fiscal 2017, and I'm confident that the fiscal year 2018 will be another strong year of performance ||| earnings Positive Confident
For example, core server revenue was up 13% year-over-year and we expect to gain share in calendar Q2. Since its launch, late last year, Synergy is experiencing very strong momentum with over 600 customers to-date ||| sales Positive Confident
In Q2, SDC continued to invest significantly in consumer marketing, including TV advertising, print, online media, including social media, which we believe has a positive effect on both SDC and Invisalign demand ||| products_services Positive Confident
Turning now to our Q4 customer division results, revenue from our Web Division customers was $300 million, up 14% year-over-year ||| sales Positive Confident
Obviously, cold shoulder and off-the-shoulder continues and all the brands have embraced that ||| Neutral
This is the 12th consecutive quarter of year-over-year growth ||| sales Positive Confident
Outbound from the UK is negative ||| Neutral
With this, we firmly believe that TE is firing on all cylinders with all segments contributing to both revenue growth and margin expansion this year ||| sales,earnings Positive Confident
In addition to improvements in our core Printing business, we have built momentum in strategic growth areas ||| sales Positive Confident
We've been expanding our capacity in terms of our manufacturing plants over the last few years ||| Positive Confident
For the last couple of quarters, we've been sharing our plans regarding our Service Alignment Initiative and I'm excited to highlight for you that we've been making great progress ||| products_services Positive Confident
I want to have much more control of the software ||| Neutral
So, Tim, as you said, you can but don't necessarily want to just keep expanding that ||| Neutral
I think when you look at the sequential  there was 1% sequential decline, and there was a $7 million or $8 million sequential improvement in operating loss ||| earnings Neutral Uncertain
We have to continue to search for those pockets of growth as we segment the market, like commercial mobility, create categories like Sprout and x3. All of it has to be anchored in megatrends that we see changing in the market ||| sales Positive Confident
We just had another record at McCarran Airport in June, and the company has focused on maximizing the opportunities that are in front of us ||| Positive
Nigeria, certainly under pressure, very slow or negative GDP per capita growth there ||| organic_expansion Negative Confident
We'll divide and conquer on this ||| Neutral
Thats not a headwind thereafter ||| Neutral
So I think its a bit too early to comment or provide much clarity ||| Neutral Uncertain
Of course, there's a go-to-market element and all of that around that, but I think the competitive environment right now is very focused on product competitiveness ||| products_services Neutral Uncertain
So starting with PrEP, what we're seeing very encouragingly, and I think consistent with CDC guidance and data, is that we're starting to see persistency that is very similar to patients taking antiretroviral therapy for treatment, and that's what you want ||| products_services Positive Uncertain
Thanks for the questions ||| Neutral
Consistent with DRAM, we considered this bit growth pattern when we provided our 2 year bit growth CAGRs earlier in the year ||| sales Positive Confident
So that's kind of the impact in the fourth quarter ||| Neutral
We're going to  Ryzen 5 has started ||| Neutral
Backlog, the key leading indicator of future revenue growth for our Consulting business ended the quarter at $91 million, up 2% year-on-year ||| sales Positive Confident
And so we're putting together a separate field organization in Europe, that's a combination of the team from Valtech and Edwards and we're getting ready to take the field ||| Neutral Confident
And obviously, we had some new innovation on the vitamin side of the business ||| products_services Positive Confident
Adjusting for the reinstatement of the R&D tax credit in Q4 2015, earnings grew 8% year-over-year ||| earnings Positive Confident
So it's not one thing ||| Neutral
We finished the year marginally exceeding our run rate synergy goal of $200 million for 2016. Moving to slide 10. In the four quarter, IFS revenue grew on an organic basis by 2.5%, while EBITDA grew 5%, primarily driven by a favorable shift in revenue mix, coupled with executing ongoing cost management initiatives ||| sales,earnings,op_costs,organic_expansion Positive Confident
OEM Pro grew 6%, better than we anticipated, driven by an improving commercial PC market and enterprise demand for Windows 10. OEM non-Pro grew 5%, ahead of the consumer PC market, as our partner ecosystem continued to see growth and share gains in the Windows premium device category ||| sales Positive Confident
Weddings and Taco Mode are just a few examples of the cultivation of the brand into consumers' lifestyles ||| products_services Positive
And we know that we have to earn our place every day in the marketplace by having competitive products and great service ||| products_services Neutral Uncertain
Andy will take the second one ||| Neutral
But like you, we see the real opportunity here and we think that this is just the early inning of what could be a long term growth driver for the company ||| sales Neutral Uncertain
dollar through the quarter ||| Neutral
Snacks is the flavor this week ||| products_services Positive Confident
For the Communications segment, adjusted operating margins were 13.2% for the quarter, down 70 basis points year-over-year ||| sales,earnings Negative
dollar, primarily the Japanese yen ||| Neutral
In terms of next year, I'll say this ||| Neutral
However, in recent times, Micron has made very good progress in this area and we are getting the benefit of that as we are ramping those technologies into production ||| products_services Positive Confident
Question-and-Answer Session ||| Neutral
Going forward, we expect improved operating performance as they begin to scale ||| earnings Positive Confident
As Irene mentioned, we're moving with a sense of urgency to address the issues we've identified and feel confident this business will return to growth ||| sales Positive Confident
So a good result driven in part by working capital timing as inventories were a smaller use year-over-year given product launch timing and payables were also a source ||| products_services Positive Confident
And Japan might be an area, where we're starting to get some indications from some of the major customers there that maybe in the second half of the year, the automotive investment cycle may start to improve there where it's been  I'd call Japan as well sluggish like Europe over the last year or so ||| organic_expansion Neutral Uncertain
We expect SG&A of over 20.5% of sales, and this would result in an operating margin profile of approximately 42.5%, inclusive of the recent impact of currency movements ||| earnings Neutral Confident
Yeah ||| Neutral
The net impact to full-year 2017 adjusted earnings per share guidance is an increase to $4.22 to $4.32 per share or 10% to 13% growth compared to prior-year period ||| sales,earnings Positive Confident
That make a lot of things you know are going awfully well as I just commented to you in the device area ||| products_services Negative Confident
I think we see the Computing and Graphics business accelerating on the strength of the new products ||| products_services Neutral Uncertain
And one key point of differentiation is security ||| Neutral
So welcome to the place ||| Neutral
Yes ||| Neutral
plans ||| Neutral
Sure, Jim ||| Neutral
You heard me talk a little bit about it and then maybe just idea of gross margin dollars versus just gross margin percent ||| op_costs Neutral Confident
Now, beyond revenue growth, then we have 300-millimeter manufacturing, the efficiency of our manufacturing, particularly with 300 millimeter ||| sales Positive Confident
We believe our disciplined go-to-market strategy is paying off ||| Positive Confident
So, from a converged perspective, I think the converged part of the portfolio was down roughly 8% and traditional was down roughly 20% and then from a material perspective, really the supply constraints are much more around SSD and again as that market is very tight right now, we're getting our fair share of supplies, but given the complexity of our broad product portfolio, we're finding it challenging to what we call demand shift ||| products_services Negative Uncertain
So we didn't see really significant change ||| Positive Confident
It was another stellar year for card services with 24% growth in revenue and 14% growth in adjusted EBITDA net despite over $200 million built and allowance for loan losses ||| sales,earnings,products_services Positive Confident
We are going to still drive mid single-digit organic growth, improve that organic content and growth story ||| sales,organic_expansion Positive Confident
And I think if I you stick to like looking at 'our adjusted results,' then you shouldn't even worry about it for next year because the dual ops incremental expenses is minimal ||| op_costs Neutral Uncertain
And both have very similar dynamics ||| Neutral
Against that backdrop, let me briefly discuss each of our operating business segments ||| Neutral
I wouldn't comment on next year, up or down, but we believe we're a growth company ||| sales Positive Confident
But we definitely appreciate it ||| Neutral
Our expectation is that we'll manage CapEx and align it with traffic and revenue projections ||| sales,organic_expansion Neutral
Importantly, Epsilon's technology platform offering continued to show progress toward a promising turnaround, with revenue increasing 1% for the third quarter ||| sales Positive Confident
We do have an adjustment associated with PS&E ||| Neutral
We were pleased with the response to the event ||| Positive
Turning to the balance sheet ||| Neutral
That's helpful ||| Neutral
Other income and expense was $51 million, down from $57 million in the year-ago quarter ||| op_costs Negative
So we have work to do to improve the growth rates at MDS, especially in large enterprise ||| sales Positive Confident
However, with the strong headwind in December as we expect to end 2017 with lower retail inventory levels than seen at the end of Q4 last year ||| products_services Negative Confident
I think youll be pleased with how quickly weve been able to integrate the products ||| products_services Positive Uncertain
More recently, we have seen a much more sanguine response ||| Neutral
So on the OpEx, we are making targeted investments in several different areas ||| organic_expansion Neutral
So, about a 11% down was worth roughly $1 million ||| Neutral
So think about it this way ||| Neutral
Obviously, we sell sheet metal and the likes off of a recycled vehicle, but the most valued parts of the engine and the transmission which go into the mechanical side of the business ||| Neutral
Ken, thank you, and good morning, everyone ||| Neutral Confident
I think brands like KFC are ideally set up to be delivered with large buckets, $5 boxes, $10 chicken shares and $20 buckets ||| Neutral
It was a disappointing year for Epsilon as revenue increased 1% while adjusted EBITDA decreased 6%, both substantially less than our 5% growth expectations for '16. Breaking down revenue by key offering, let's start with the good  collectively auto, CRM, affiliates and data grew revenue, double digits compares to 2015. In addition, after a slow start to 2016, due to the pull back of a large client, agencies growth rate turn positive in the back after the year ||| sales,earnings Negative Uncertain
As you think of the company on a go forward basis, the biggest driver of our gross margin is revenue, revenue growth ||| sales,earnings Neutral Uncertain
The primary reason is because we believe that there is an opportunity there through innovation to achieve better cost of goods sold from an optical standpoint ||| op_costs Positive Confident
I'll now shift to discuss cash flow ||| Neutral
Well, I think there's obvious markets like China where we'll continue to see a lot of new unit growth ||| sales Positive
And so, at this point, it's too early to break it out specifically, but we're seeing all of the above ||| Neutral Confident
The core shelf space, especially in C-stores for the big brand, we have to protect the hell out of it and that's what we're going to do ||| products_services Neutral Confident
Slide 5 provides an operating profit summary and the components of our corporate line ||| earnings Neutral
I'll give you two illustrations, prior set, current set ||| Neutral Confident
And we anticipate that that will happen as we realign the sales force, as we focus marketing on the value and growth segment and we realize the potential of  of the portfolio ||| sales Positive Confident
So Sanjay may team up for this ||| Neutral
However, we have continued to make investments into our sales organization to better position us for growth ||| sales,organic_expansion Positive Confident
We've done a fair amount in first half ||| Neutral
Well, I didn't say the new business bookings growth was weak in the PEO, we don't give segment reporting with details of our bookings ||| sales Positive Confident
Adjusted EBITDA for the fourth quarter was $247 million, up $9 million from Q3 levels, and $10 million from the same period last year ||| earnings Neutral
Question-and-Answer Session ||| Neutral
Maybe I didn't at first understand the question, but I did look last night at sales force productivity over the last few years ||| sales,products_services Neutral Uncertain
And one thing Baxter is starting to do very well, we're very fast at evaluating the deal coming to the table, have enhanced significantly our internal capabilities, which are under Andy Kidd who runs the strategy for us and BD&L (45:12) and David Roman who is in strategy as well here ||| earnings Neutral Confident
And that's exactly what they're doing ||| Neutral
