Excluding Airwave, Managed and Support Services, grew 8% ||| products_services Positive Confident
I would look at it this way, in 2016, the amount of health insurer fee that Anthem is going to be required to pay, and is expensed, is approximately $1.2 billion ||| products_services Positive Confident
And so we're taking the opportunity with some of the strength in the business to make sure we lean in to those resources and fully pay off the product investments ||| products_services,organic_expansion Neutral
We have patients that are in profound shock and that needs support on the right side as well as the left side ||| products_services Neutral Confident
Our commercial cloud revenue run rate grew to more than $14 billion, up 49% ||| sales Positive Confident
hurricane-related expenses that we had ||| op_costs Neutral Confident
We also continue to see long-term opportunities for growth across our new European business ||| organic_expansion Positive Confident
Our full-year retention was down 50 basis points to 90%, which also includes a 20 basis point impact from the loss of the Office of Personnel Management contract in the first quarter of fiscal 2017. Please note that this contract was part of the CHSA business that we subsequently disposed-off during the second quarter of fiscal 2017. I would also like to remind you that the loss is contributing to our annual decline in retention remain concentrated on our legacy platforms in the mid- and upmarkets ||| earnings Negative Dodgy
dispensing change ||| Neutral
When we look at it as a whole, though, we think that the growth in the business is really on the strength of the products and how the design wins, both OEM and as well as system integrators are improving ||| products_services Neutral Uncertain
This is a significant improvement compared to the double-digit decline in the fourth quarter 2016. The client base is showing stability, and we've seen an increased win rate on the basis of the introduction of cloud-based more packaged products into the market ||| products_services Negative
Turning to slide 12. In the fourth quarter, GFS revenue grew 7.7% organically while EBITDA grew 31.3% ||| sales,earnings,organic_expansion Positive Confident
Synopsys has a very strong presence in the embedded space, including automotive, medical devices and IoT; Cigital is a leader in serving enterprise customers, with particular strength in financial services ||| products_services Positive Confident
Let me start with Olive Garden, because I think thats where everybody wants me to start, then Ill make some comments on the overall environment ||| Neutral
It's too early for us ||| Neutral Confident
We expect revenues of approximately $11.1 billion to $11.4 billion ||| earnings Positive Uncertain
For a discussion of some of these risks, uncertainties and assumptions, please refer to HP's SEC reports, including our most recent Form 10-K ||| op_risks Positive Confident
This is a massive $1 trillion growth opportunity ||| sales Positive Confident
This was driven by the strength of sales in C ||| sales Neutral
Our security solutions delivered solid growth in the third quarter ||| sales Positive Confident
And we do this with a clear bottom line objective and many year track record, of driving ongoing high single-digit EPS growth and returning cash to shareholders ||| sales,earnings Positive Confident
Thank you ||| Neutral
We remain encouraged by the underlying volume trends in the U.S ||| Neutral Confident
Looking at the remainder of 2017, we expect overall demand to be seasonal and believe our customer diversification is positioning us for growth as we navigate through volatile markets ||| sales Positive Confident
We have a clear plan for making that happen ||| Neutral
As a growth company and now as a much larger growth company, we continue to invest in areas such as recruiting, technology, facilities and other areas to support our strategy of delivering sustained double-digit growth over the long term ||| sales Positive Confident
So I think they're targeted investments, but as we've been in the past, we'll be very prudent with where the OpEx goes ||| organic_expansion Neutral Uncertain
Turning now to our Q1 revenue results by customer division, revenue from our Web Division customers was $305 million, up 15% year-over-year ||| sales Neutral
We're seeing the U.S ||| Neutral
Were taking profitable share, out-executing our competitors and delivering some of the best innovation, design and execution in HP's history ||| earnings Positive Confident
We have a lot of things going on in the off-price side that's driving some really good growth, and we have some new markets that we've been expanding that's driving some really good growth ||| sales Positive Confident
So, I think there are some areas where we're probably may not making the  or we're not growing with the market because, again, we focus some of our investments in some of those other areas that support the food area or support pharma, et cetera ||| organic_expansion Positive Confident
It'll flow like that ||| Neutral
But we expect organic growth in our automotive business, even in a flat environment due to our content and share gains ||| sales,organic_expansion Positive Confident
They've just about closed ||| Neutral
As you can imagine a 1% increase in the United States dwarf just about if you think of the long tail of countries that dwarfs the revenue in those long tail of countries ||| sales Neutral Uncertain
We think categories within the snack wheel will outpace center of the store products given the impulsivity and percentage of merchandising and display allocated to snacks ||| products_services Positive Confident
Our multifamily platform continues to grow and to perform beyond our projections and expectations ||| Neutral
In August of this year, we established a new subsidiary in Germany to expand our European business ||| organic_expansion Positive Confident
As always, we remain highly focused on improving our sales productivity and remain confident that the initiatives we have implemented drive productivity will positively impact our results over both the short and long term ||| sales,products_services Positive Confident
Stores did an excellent job on productivity and managed through the quarter very well ||| Positive
We're in a position to defend and absorb the largest attacks out there, and we've got a great track record and there's a lot of other folks that offer scrubbing services or DDoS services of one kind or another, and they've all pretty much had high profile failures ||| products_services Positive Confident
And in the first quarter this year, we're at 3.7% ||| Neutral
We've proven we really can grow from that ||| Positive Confident
I think it's listening ||| Neutral
Consumed revenue is actually a great leading indicator for what we expect our Azure growth going forward to be ||| sales Positive Confident
As of today, we have multiple new fulfillment options that are in some phase of testing or rollout across our network ||| products_services Positive
I think you've seen us make some good integration with products like PhotoShop ||| products_services Positive Uncertain
Lastly, just to reinforce, we're pleased with, while we don't like to shrink, we're pleased with the fact that our retention rates held up quite strongly through this process and I think that's a further validation and testament to the strength of the physician partnerships and collaboratives, with 85% of all of our MA lives in collaboratives and our very strong HealthSpring team that wakes up every day to serve our customers ||| earnings Neutral Confident
In Q4, we expanded relationships with U.S ||| Neutral
I think we're pleased with where the overall launch is, and we'll be rolling out many more products over the coming quarters ||| products_services Positive Uncertain
Total contract value was $1.930 billion as of the end of Q4 or FX neutral growth of 14% versus the prior year ||| sales Positive Confident
That's the real difference ||| Neutral
Have you ever noticed that people warm up before the game actually starts? Thats the inning that I think were in ||| Neutral
This means that there are now 14 European countries, including four of the five major markets, that allow patient access regardless of disease severity ||| products_services Positive Confident
As we deliver on our commitment to return the company to revenue growth with improved profitability, cash flow and shareholder returns, we remain focused on three priorities ||| sales,earnings Positive Confident
As you know from prior conversations, we viewed that the marketplace 2014, 2015 and 2016 specifically we call version 1.0. We viewed that it would be a relatively choppy ride in the implementation of all the new attributes of the program; that the marketplace in total would be smaller than projected and unprofitable overall ||| sales Positive Dodgy
They have to get ramped up ||| Neutral
The channel inventory was well under control ||| Neutral
So, think in the 60%, 70% of the change, balance related to some softness on TA and Evanta revenues ||| sales Neutral Uncertain
There is a 50% to 20% SKU rationalization that will obviously not have that amount of impact on our business, but will have a limited impact ||| products_services Neutral Uncertain
And so when we look at it and talking to our customers, they have told us things back to production to moderate in the second half versus a very strong level we are going to have in the first quarter and continue a little bit in the second quarter ||| products_services Positive Confident
Sales for the division were $2.9 billion, down 0.4% in constant currency ||| sales Negative Confident
Overall, we drove 13% growth in total deferred revenue with product up 19% and services up 9% ||| sales,products_services Positive Confident
So, please give us a call ||| Neutral
I think that is why, as much as a lot of people call this the age of internet of things, the internet of things is almost more a catalyst to growth in all of these other dimension than anything else ||| sales Neutral Uncertain
Before I discuss the details of our business unit performance, I want to spend a few moments on the evolving policy landscape ||| earnings Positive Confident
We are going to continue to face some headwinds from Tier-1s that was down versus Q3. But we are feeling much better about that core business and you really need to think about this as stabilizing the core transactional rack and tower business while we pivot the portfolio to higher margin and higher growth segments in the marketplace and thats working ||| sales,earnings Neutral Uncertain
But I can tell you that the discussions with retailers have gone well ||| organic_expansion Positive Uncertain
Client ASPs were up 7% year over year as our segmentation strategies are paying off and core mix continues to be strong ||| sales Positive Confident
But we also think there are opportunities that we're exploring of how we work in that whole ecosystem because it is a very different ecosystem, not only because of some of the issues that you've raised and the different companies that really are leading in that market, but also because of where the country is and how they're adopting technology and in some cases skipping whole generations of the way developed markets use the technology in going right to an end game solution ||| Neutral
Let me start with the smokeable products segment ||| products_services Neutral Uncertain
I think it's also important that just to note that as we've said before that today our portfolio if you look at the entire portfolio of digital revenue it is running at a higher margin than the rest of the business ||| sales,earnings Neutral Uncertain
We didn't really pause the whole program ||| Neutral Confident
Yeah ||| Neutral
We saw organic orders growth across all three of our segments in quarter one, excluding SubCom ||| sales,organic_expansion Positive Confident
Our data-centric businesses grew 15% year over year, reaching 45% of our revenue, proving that Intel is becoming a data-centric company ||| sales Positive Confident
As such, we are adjusting our full-year guidance to $1.65 to $1.71 per share ||| earnings Positive Confident
So in addition to stabilizing core rack and tower we are pivoting hard to our value and growth offerings like HPC, Synergy, SimpliVity, etcetera ||| sales Positive Confident
Both from a government customs perspective, but also our private sector clients also want to ensure some testing is done ||| products_services Positive Confident
Turning to the performance of CEB Research in the quarter; CEB adjusted research revenues declined by 1% year-on-year in Q2, an improvement from the 4% year-on-year decline in Q1. CEB's other research metrics also improved in the quarter ||| sales Negative
On an organic basis, excluding the contribution of L2, which we acquired in March 2017, total contract value growth for traditional Gartner Research would have been 14% on an FX-neutral basis, also an acceleration from the growth we delivered last quarter ||| sales,organic_expansion Positive Confident
While we did experience some temporary headwinds, including the impact of the hurricanes on some of our customers, rising inflation, and a challenging inbound freight environment, we remain on track to achieve a successful year and ultimately deliver on our three-year operating income target ||| op_risks Positive Confident
I think you're going to see that investment occur, it's going to begin in the first quarter ||| organic_expansion Neutral Uncertain
We dont break it down at a segment level ||| Neutral
Thanks Ed ||| Neutral
I mean, if you think about it, we've been closing KFC U.S ||| organic_expansion Negative
GAAP operating expenses were $289 million in the fourth quarter ||| op_costs Neutral
So I think that your questions right ||| Neutral
First, color equipment grew 1% in constant currency; and, second, the growth was driven by the higher end of the portfolio, continuous feed and iGen products ||| products_services Positive Confident
As you were listing them, I kept thinking about all the other products that are positively impacted too ||| products_services Neutral Uncertain
Storage revenue declined 13% driven by continued challenging markets and tight SSD supplies ||| sales Negative
Yeah, Toni ||| Neutral
Yeah ||| Neutral
So, if you take a look at  we narrowed the range based on where we are ||| Neutral
This range could be impacted by our analysis of final law and our fourth quarter financial results ||| Neutral
We generated strong profitability and cash flow, continued to return significant funds to shareholders and increased our earnings per share outlook for the year ||| earnings Positive Confident
For the PEO, ADP continues to anticipate revenue growth of 13% ||| sales Positive Confident
Yeah ||| Neutral
In addition, what we're really trying to work on now is in the non-expressers or in the patients that are not PD-L1 tested to reinforce that we have the indication for the combination to be used in those patients, which we think represents an additional significant opportunity ||| products_services Positive Confident
We booked that in the fourth quarter ||| Neutral
Drivetrain sales coming in at $883 million, that's up almost 17% organically, which was a really strong quarter from Drivetrain on the growth side and the really good news around that, that was strong all-wheel drive sales, but also on our transmission business ||| sales Positive
Our bit growth is supported by our 1X DRAM ramp, which represented mid-teens percent of our DRAM bit output in Q4 and will grow throughout the next several quarters to achieve bit output crossover as we exit calendar year 2018. We expect industry NAND bit supply growth to finish calendar 2017 in the high 30% range ||| sales Positive Confident
But in terms of patient acceptance, were seeing some really good patient acceptance ||| Neutral Confident
Now what I said and maybe I wasnt clear, was that, the 35% of the restaurants that were franchised and now company owned are dragging same restaurant sales down by 100 basis points ||| sales Negative Uncertain
Thank you, Martin ||| Neutral
I'll start then maybe Bill can supplement ||| Neutral
Because its not just what you do internally, it's ensuring that the thousand partners that I talked about who are also partners to the companies that were working with are evangelizing and are promoting our products, and are educated on our projects ||| products_services Neutral
Thanks, Neil ||| Neutral
Yeah, I think Satya is correct ||| Neutral
Operating profit for the business was $105 million, down 15% year over year from increased investments in autonomous driving and increased allocation of SG&A and technology development spending ||| earnings,op_costs,organic_expansion Negative
We've built up a good set of deals in our revenue backlog ||| sales Positive Confident
And on your CapEx question, I'm glad you asked, because we certainly are not trying to signal that we're doing a build-out for some anticipation of further OTT ||| organic_expansion Neutral
First, there were normal seasonal factors, including higher EPO utilization due to the flu season, higher payroll taxes in the first quarter of each year and two fewer treatment days ||| earnings Positive Confident
Through successful execution, we expect to narrow our technology cost gap and optimize bit output growth in both DRAM and NAND, with a disciplined focus on profitable growth ||| sales,earnings,op_costs Positive Confident
I will close with remarks on our 2017 guidance ||| Neutral
But thats not assumed right now ||| Neutral
So also you'll see that drive up ||| Neutral
The systems having been invested in, in those restaurants, they are working on very old POS systems and so big difference in this integration than some of the others where the Cheddar's team is actually pulling from us to get this information in restaurant where some of our past integrations, theres been a little push back because they had good systems and we are just the changing systems to change the systems ||| Neutral
In networking, we saw shipment and revenue growth bolstered by the continued transition to 20-nanometer, 4-gigabit DDR3 and 8-gigabit DDR4 products ||| sales,products_services Positive Confident
dollar will cost is roughly six points of EPS growth ||| Neutral
Sure, Jeff ||| Neutral
The Mobile Business Unit delivered fiscal Q3 revenue of $1.1 billion, up 4% sequentially, driven primarily by a stronger pricing environment and our non-GAAP operating income was $304 million or 27% of revenue, up from 16% to prior quarter ||| sales Positive Confident
The transition from lay down bags to stand-up pouches on our core chocolate packaged candy products is progressing ||| products_services Positive Confident
Healthcare, product and resources and communications and media and technology averaged double digit growth rates ||| products_services Positive Confident
? ||| Neutral
We have got a very good leadership bench ||| Neutral
I think it's probably, it's both ||| Neutral
I think we'll also see, we still again, talking to our partners, thinking that mid-20% for cloud growth, but I think we'll see quarters like this quarter that was a little bit high ||| sales Neutral Uncertain
While much of our operating margin expansion in the past few years have been driven by our transportation segment, I am pleased that in 2017 our operating margin expansion will be driven by all three segments, with more contribution from communications and industrial ||| sales,earnings Positive Confident
In other segments, we are the new competitor ||| Neutral
And even as production has slowed down to 1% and pretty much in line with where we are, it does come back to how do we drive across the three big trends that are happening in the vehicle ||| products_services Negative
outbound continued to grow really well ||| Neutral
And I think you mentioned that but just its important to note that the number of these acquisitions when we acquired them, were actually losing money and so we have now worked that of and I think virtually all of them will be accretive in 2018. ||| acquisitions Neutral Uncertain
Shifting to Small Business, we continue to be pleased with the growth in our QuickBooks Online ecosystem ||| sales Positive Confident
So I think we feel good about where we are in terms of our expenses, even though Jan described very well this issue of we've lapped our ACA revenues, and we had already lapped our ACA expenses for the last two quarters ||| sales,op_costs Neutral Uncertain
And I would say, when we get into that 80% range what really goes up is store pickup, and we'll take that model all day long, highly efficient for us, highly profitable from a digital perspective ||| earnings Positive
And so, when we look forward, clearly, we'll have a compare that we'll have to deal with them in the first quarter, but we see the content story being very strong, and I think China will continue to have production growth ||| products_services Positive Uncertain
On the store guidance, we pushed  we push some openings out and then we had some additional closures in Gap and BR ||| organic_expansion Neutral
For more detailed information, please see disclaimers in the earnings materials relating to forward-looking statements that involve risks, uncertainties and assumptions ||| earnings,op_risks Positive Confident
In Consumer Tissue, our volumes were down 7%, mostly in bathroom tissue ||| sales Negative Confident
I would say the environment feels fairly good ||| Positive Confident
Now as I think about how do we progress going forward and to Meg's point earlier, we think 2Q is going to be a low point and basically that's driven by the fact that one, we're going to work out the stranded costs ||| op_costs Neutral Uncertain
We're pleased with the early feedback ||| Neutral
Q3, Q4. ||| Neutral
It will still bear a significant chunk of our tech development and SG&A costs, but you may remember that our development costs during the course of the year, as we indicated I think maybe last couple quarters, that comes down from first half to second half ||| op_costs Neutral Uncertain
The increase was primarily due to higher R&D-related investments and expenses related to annual employee incentive programs, driven by our better financial performance ||| op_costs,organic_expansion Neutral
Anjaneya K ||| Neutral
New business growth remained strong, up 13% year-on-year in Q1. The new business mix is consistent with prior quarters and remains balanced between new clients and sales of additional services and upgrades to existing clients ||| sales,products_services Positive Confident
Point-of-sale was up versus last year and up versus the last movie year ||| Neutral
Yes, we're still mindful of the opportunities for tuck-ins ||| products_services Positive Confident
And that's because this is an asymmetrical bet ||| Neutral
On an FX neutral basis, our year-over-year financial performance for the fourth quarter of 2016 included, contract value growth of 14% and Research revenue growth of 15%, Events revenue growth of 2% on a same-event basis, Consulting revenue growth of 1%, normalized EBITDA growth of 3% and diluted EPS excluding acquisition adjustments of $0.97 per share ||| sales,earnings,acquisitions Positive Confident
items ||| Neutral
China credit remains available ||| Neutral
You said you had another question after that? ||| Neutral
The ATMs had to be redesigned ||| Neutral
Our non-GAAP operating margin grew by a 110 basis point year-over-year to 21% ||| sales,earnings Positive Confident
Our regional leaders and sales partners are doing an incredible job of driving growth and delivering value for our customers ||| sales Positive Confident
We saw good momentum in the public sector market ||| Neutral
Minority interest and other charges improved to $20 million, primarily due to improved results from our equity investment in CIP ||| op_costs Positive Confident
We delivered another very strong quarter in Research in Q4, capping off another strong year of mid-teens revenue growth for our largest and most valuable segment ||| sales Positive Confident
Spending will be about flat and we expect the percentage of recurring revenue to increase to approximately 90% beginning in Q1. As we look at our outlook for Q1, keep in mind that total ARR growth and subscription additions will build over the course of the year ||| sales Positive Confident
Sequentially, gross margin was down 60 basis points, driven by an unfavorable Print mix and a higher sequential growth in Personal Systems ||| sales,earnings Positive Confident
So as I mentioned in the beginning, industrial and applied grew at about the company average for the quarter ||| products_services Neutral Confident
We continue to expect net sales to be in the range of minus 2 to flat for the year ||| sales Negative Confident
So I would characterize it this way, I think where we landed in the fourth quarter versus where we thought we would at the beginning, if that makes sense to you is we got, it was a stronger quarter than what we had anticipated going into the quarter ||| earnings Positive Confident
We delivered strong profitability metrics, with year-over-year growth in operating margin, operating income and diluted earnings per share ||| sales,earnings Positive Confident
I think when you take the bigger picture, and I think about next year, number one is the content growth story we have in automotive, I think, is very evident of the traction we have ||| sales Neutral Uncertain
We repurchased 218,000 shares of common stock during the quarter at a total cost of $18.1 million ||| Neutral
We've gone back to businesses ||| Neutral Confident
I'd say $0.5 billion of revenue upside at kind of roughly gross margin dynamics of the business will fall through at an additional $0.05 of EPS, so we feel great about that ||| sales,earnings Positive Uncertain
Yeah ||| Neutral
The second item was the tax rate ||| Neutral
Our Americas segment had a solid quarter, posting 3% comp growth with 3% comp in the U.S ||| sales Positive
So, it's all returns based ||| Neutral
Operating cash flow increased due to higher collections from customers following strong billings growth, as well as working capital improvements in our hardware business ||| sales Positive Confident
We delivered 3.7% operating margin in the quarter, which is up 0.5 points quarter to quarter, above historical seasonality, and down 0.7 points year-over-year ||| sales,earnings Negative
But again, if I look at the aggregate of those quarters, cost should be effectively flat or maybe up a little bit ||| op_costs Neutral
One is security ||| Neutral
And so Id say, I dont track and were looking forward to gradually ramping that Inova product out there ||| products_services Positive Confident
So if you think about our kind of three main markets, service providers attached to other Citrix solutions and what I would call pure-play ADC, the pure play was up strong double digits in the quarter so we're actually being able to engage and win in a much greater number of competitive transactions ||| products_services Positive Uncertain
sales in Japan were down double digits due to seasonal softness and expected lower volume at one of our largest cutting OEMs due to the timing of orders ||| sales Negative
Total inbound business to India was down approximately 10% in the quarter which improved sequentially from a revenue decline of about 15% last quarter ||| sales Negative
And we think the changes weve made have really put this back in place frankly to return it to a growth offering versus where it declined over the last three quarters ||| sales Neutral Uncertain
This is an improvement and demonstrates as the portfolio is delivering, while we continue to benefit from the secular trend of content growth across our businesses ||| sales Positive Confident
But, David, you're mathematically correct that our new business bookings get implemented and turn into revenue after six months approximately and so some of the impact of our lower retention and lower sales will be seen in the revenue growth next year, as you roll it forward ||| sales Positive Confident
It's nice to hear from you ||| Neutral
We have the RP which we'll be submitting at some point in the future ||| Neutral Confident
FX was mostly in line with our expectations, with 1 point of negative impact on total revenue growth even with a slightly weaker than expected US dollar ||| sales Positive Confident
We are still committed to the 3% to 5% margin performance and we're also committed, as I've said repeatedly over nearly a year now and going back to last summer, kind of worked off the characterization of surgical extraction, we still are very focused on that as well ||| earnings Neutral Confident
Good morning Anj ||| Neutral
economy clearly at the moment is pretty strong ||| Neutral
I mean, it's almost  it's very high single-digits ||| Neutral
First in regards to the e-commerce and the gross margin, we called out the growth in e-commerce and its impact on freight ||| Neutral
That 2-point year-over-year increase in the commercial cloud gross margin really, even with the massive growth in Azure over the course of the year, certainly implies the improvement that we expected ||| sales,earnings Positive Confident
Turning to installs ||| Neutral
You can always ask a question, Jason ||| Neutral
And if you reflect back at the start of the year when we guided in our first quarter, orders and revenue growth were heavily weighted towards Asia and were encouraged by the balance we are now seeing as Europe and United States continue to strengthen ||| sales Positive Confident
There's a very steep claims curve in the Individual business as the year progresses given the benefit design of the product and so the MER and the profitability in the first quarter is within our expectations ||| earnings Positive Confident
That's where we have been biasing our investments for a number of years, and that's why we're getting strong results in both of those end markets ||| organic_expansion Positive Confident
But we believe our inventory situation is okay ||| Neutral Uncertain
And then I'll pass it over to Ken ||| Neutral
Feedback on this acquisition from many of our mutual Fortune 100 customers has been extremely positive ||| acquisitions Positive Confident
So we've got lots of headroom to go ||| Neutral
We are projecting a more limited business ramp for Lash during this Fusion transition period ||| Neutral Confident
We're not going to give exact guidance for 2018 yet on this call ||| Negative Confident
So thats the competitive advantage for us ||| Neutral
And so I think we have a further room there, but I think that kind of the customers that are going to buy Ion  many of them are already buying their products ||| products_services Neutral Uncertain
Yes, yes ||| Neutral
It's a matter of giving our existing sales force more products to sell ||| sales,products_services Neutral
Were not going to provide guidance ||| Neutral
And just to remind everyone, the third quarter is typically our seasonally our second weakest quarter of the year, but Q4 is our strongest from an operating margin and from a revenues perspective ||| sales,earnings Positive Confident
The majority of these people are served by unmanaged higher cost fee-for-service programs operated by federal and state authorities ||| products_services Negative Confident
A lot of the growth in the Q1 timeframe for example in the cloud vertical came in Switching ||| sales Positive Confident
In October, we have strong results with our signature Gorgeous Hair event and focused on our partnership with the Breast Cancer Research Foundation ||| sales Positive Confident
Thanks, Kirk ||| Neutral
C ||| Neutral
So, I dont know whether this will continue at a 30% growth rate, but it will be at least double-digits, I think for the foreseeable future, this is a fundamental trend in the datacenter ||| sales Neutral Uncertain
And if you look at what we've done with our proved indication, the vast majority of patients within our indication are already being prescribed KEYTRUDA for first-line lung, and KEYTRUDA's now the most prescribed drug for first-line lung in the marketplace ||| products_services Positive Confident
Long-term debt on the balance sheet was $1.36 billion ||| debt Neutral
Days sales outstanding for the first quarter was 58 days, up four days from Q4 levels and down two days from the same period last year ||| sales Neutral
Adobe Sign now includes mobile tools, powered by Adobe Sensei, for scanning, reading, routing and signing documents ||| products_services Neutral
We now have mobile order and pay in over 6,000 restaurants ||| Neutral
We expect second quarter revenue of $3.025 billion to $3.125 billion and adjusted earnings per share of $1.05 to $1.09, representing sales growth of 4% on both the recorded and on an organic basis and 19% EPS growth at the midpoint ||| sales,earnings,organic_expansion Positive Confident
This is looking very good for that to happen ||| Neutral
I'm not sure ||| Neutral
The acquisition of NACC, which occurred on the first day of the first fiscal quarter was the biggest driver of our total growth, contributing $277 million to our revenues ||| sales,acquisitions Positive Confident
So, to sum up, Broadridge reported strong third quarter results, with double-digit growth in revenues, adjusted EPS, and closed sales, and remain on track to deliver our fiscal year 2017 guidance on key metrics of recurring fee revenue growth, adjusted EPS, and closed sales ||| sales Positive Confident
And you just pointed out the mix of our DRAM business between PC what used to be just about PC and mobile is now very much about PC mobile, server, automotive and multitude of markets and Micron has really great presence, where variety of I mean whole slew of customers and channels ||| sales Positive Confident
And then that's being offset a little bit by U.S ||| Neutral
We got a new mobile app there ||| Neutral
To cope with the explosive growth of traffic resulting from its unlimited data plans, a large U.S ||| sales Positive Confident
Everything is up massively to drive to that 51% ||| Neutral
Consulting gross contribution margin declined by 140 basis points year-on-year, primarily due to a modestly lower utilization but was up strongly on a sequential basis ||| sales,earnings Positive Confident
In fact, in the U.S ||| Neutral
Yeah, I'll be happy to do that ||| Neutral
We've had great success across a number of initiatives ||| Positive Confident
Well, I think at a macro level, if you look at all of these products taken together, theyre fundamentally anchored at least to a large portion, not entirely, in the semiconductor industry ||| products_services Neutral Uncertain
