Yeah ||| Neutral
Turning to slide 13, in the second quarter, Global Financial Solutions organic revenue grew 3.9% to $1.1 billion ||| sales,organic_expansion Positive Confident

This is a really nice catalyst and opportunity as you simplify and embrace, and I'm sure you can leverage it to drive enhanced personalization, even more than youre doing ||| Positive Confident

Yeah ||| Neutral

Moving down the income statement, on a combined basis, SG&A increased by 13% year-over-year in the third quarter ||| op_costs Negative

Thank you, Kathleen ||| Neutral

entities owning about 80% of our cash ||| Neutral

Thank you, Troy ||| Neutral

But then as people stop going to brick-and-mortar and start shopping only on e-commerce, which well could be the Gen-Z, the new I-generation, if you want to call it that, I think the new digital tools can easily afford you the ability to create the impulse experience online ||| products_services Positive Confident

Thank you, Steve ||| Neutral

I do know that in an environment which talks about regulation being something you need to watch carefully so that you enact the right kind of regulation, but you don't stifle innovation and growth, that could lead to definitely a constructive view ||| sales Positive Confident

With continued execution, we're on track to increase shareholder value and return the company to long-term growth and to our target operating margin range ||| sales,earnings Positive Confident

That's much less the case here ||| Neutral

We have put it in our data ||| Neutral Confident

I think that would be amazing ||| Neutral

I was just trying to give you a general flavor because, as you saw, we also had some weakness on the revenue growth, but that wasn't necessarily related to ACA, but just in general, I was trying to convey that there is some logical, I guess, explanation to some of what's happening in the sense that there appears to be a lot of optimism on the part of small businesses and we're seeing that reflected in parts of our business ||| sales Negative Uncertain

It's estimated that before accounting for any other issues, rates could increase by an additional 20% or more if CSR subsidies are not funded ||| earnings Positive Uncertain

Operator? Question-and-Answer Session ||| Neutral

The reception has been broadly positive on a number of dimensions, firstly off the back of our own home-grown innovation with the PageWide array and the ability to take that into the A3 line of products ||| products_services Positive Confident

We will launch here in the second quarter ||| Neutral

And for that reason, if you look at our Switching growth, especially as it pertains to the data center over the last few years, it has been quite good ||| sales Positive Confident

Unknown Speaker Got it ||| Neutral

This increase in average spend reflects our ability to drive CV growth through both new and existing enterprises ||| sales Positive Confident

Backlog, the key leading indicator of future revenue growth for our Consulting business ended the quarter at $104 million, down 9% year-on-year on an FX neutral basis ||| sales Positive Confident

So, Joe, the way to think about that is for the Ryzen 7 and a good portion of the Ryzen 5, we really didn't have a competing product in that segment, so it's really additive ||| products_services Neutral Uncertain

Operating profit was $92 million, flat year over year after adjusting for acquisition related impacts ||| earnings,acquisitions Negative

2016 was a transformative year for PayPal ||| Neutral

And on the share front, I think we continue to feel good that we are probably punching above our weight and continue to feel good about what we're doing in terms of market share gains there ||| op_costs Positive Uncertain

, that's extremely gratifying that the value proposition that we see with Libre is strong and it's intended to be ||| Neutral Confident

So it was better than seasonal ||| Neutral

Our new business growth reflects our success in penetrating our vast market opportunity with both new and existing client enterprises ||| sales Positive Confident

It was crafted by Antonio and I ||| Neutral

So clearly, we're pleased with where we're going right now with this product portfolio ||| products_services Positive Confident

We have a deep commitment to customers, a strong team, and a belief that we can deliver a superior customer experience and exceptional innovative new offerings ||| Neutral Confident

So the multinational is $500 million ||| Neutral

Sometimes, it's a blip, sometimes it's bigger ||| Neutral Confident

We feel like we've gotten some great people ||| Positive Uncertain

We will then be happy to take your questions ||| Neutral

There are items that we're looking at and evaluating, so I'd prefer probably not to evaluate them ||| products_services Neutral Confident

If I look today, the pressure on fun and taste is fine ||| Neutral

This quarter, we're really pleased to have added Ann Taylor, LOFT, Hulu, Air Canada, costco Canada ||| op_costs Positive Confident

People seem to call curl up in a ball and obsess about whatever the issue was ||| Neutral

We are not gaining share, okay, to be clear ||| Neutral

Hey, Bill, it's Craig ||| Neutral

First, big-picture, I'm extraordinarily proud of our team ||| products_services Positive Confident

We expect our second half of fiscal 2018 EPS growth to be much better than our first half EPS growth, due primarily to the benefit of the gradual onboarding of the Walgreens Rite Aid stores as previously discussed ||| earnings Positive Confident

Hi, Tien-Tsin ||| Neutral

I have nothing to add to that, Joe ||| Neutral

It reflects the broad book of business that we're seeing, reflective of the mature solutions just posted a 23% year-on-year growth, growth; the strategic solutions just posted 23% year-on-year growth ||| sales Positive Confident

No ||| Neutral

over to France and across Europe and beyond ||| Neutral Confident

Capital expenditures in Q4, excluding equity compensation and capitalized interest expense were $78 million and slightly below our guidance for the quarter primarily due to the timing of network buildouts that moved into Q1. For the full year 2016, capital expenditures came in at 14% of revenue and below our long-term model as we grew into our existing capacity from the significant 2015 buildouts ||| sales,op_costs Positive Confident

There is really strong chatter around the Fontainebleau being sold with a hotel flag that will be put on it ||| Neutral

Fourth quarter EPS was $0.50, up 47% ||| Neutral

R&D as a percentage of revenue was flat and SG&A as a percentage of revenue was up 10 basis points as a result of the higher revenue declines ||| sales,op_costs Negative

And that is going to be at a lower price ||| Positive Confident

But it was roughly in line ||| Neutral

I'd say in China, what we saw from an end market perspective, it was strong across all end markets with the one exception being the chemical energy ||| earnings Positive Confident

Thanks for the question ||| Neutral

We do provide some disclosure by P&L line item on a consolidated basis, that helps you identify that stock-based compensation expense in total and you'll see the trend and analysis and the metrics at the back of the press release ||| earnings Neutral

As we have said, we believe free cash flow growth, especially on a per share basis, is most important to maximizing shareholder value in the long term, and will be valued only if it is productively invested in the business or returned to owners ||| products_services Positive Confident

Actually, the exception is China where in China is now retail dot-com driven but is Tmall driving the growth ||| organic_expansion Negative Uncertain

So we will have another two-week quarters because of the grow over issue at the beginning of fiscal 2018, and then our plans are that our sales return to near pre-ACA levels in the second half, as well as our revenue growth begins to once again gradually accelerate ||| sales Positive Confident

This quarter, the U.S ||| Neutral

If you added those in, we'd be above the midpoint or right at the midpoint, so just very modest timing differences ||| Neutral

Can you say that again? ||| Neutral

Thank you, Jim ||| Neutral

Adjusted EBITDA for Q3 amounted to $2.19 billion, which exceeded the top end of our guidance range of $2.13 billion and grew by 18% versus prior year ||| earnings Positive

But retailing is still itself quite challenging particularly in the U.K ||| op_risks Negative Confident

It's only thing, that's having a benefit ||| Neutral

As you'll remember, because our first launch client really didn't ramp until the second half of last year, the first half revenue growth for CCG will, particularly because the modem will have a relatively easy comp ||| sales Positive Confident

Our new business growth reflects our success in penetrating our vast market opportunity with both new and existing client enterprises ||| sales Positive Confident

Now to our final segment, More Personal Computing, revenue exceeded our expectation at $11.8 billion, primarily from stronger than expected performance from our Windows business ||| sales Positive Confident

This is up 2 points from last quarter and represents an accelerating trend, driven by the success of Mobile Order & Pay ||| sales Positive

Organic growth 9%, in Q2 with Fuel Card revenue growth of 8% ||| sales,organic_expansion Positive Confident

From a geographic sales channel perspective, North America was down 7.3% or 6.9% in constant currency and represents 60% of our revenues ||| sales Negative

Corporate and digital produced growth of 12.5% for the quarter ||| sales Positive Confident

We're encouraged by the signs but said listen, one quarter is not a trend ||| earnings Neutral Uncertain

It's a highly instrumented business ||| Neutral

Darrin, with regard to your first one, we've done some calcs, and we tried to give some color in the prepared remarks around what organic growth would look without the consulting business ||| sales,organic_expansion Positive Confident

We continue to expect full year SD&A to be in line with 2016 excluding the impairment charge as a percent of revenue ||| op_costs Neutral

Our non-GAAP effective tax rate was 22% ||| Neutral

Relative to our Investor Summit is that what we did see is that we did see traffic growth moderate, as I mentioned in the Americas region in particular and very notably in our gaming vertical and it moderated throughout the quarter ||| sales Neutral

And these are all area that we're looking for growth, so it's across a variety of different things that we're succeeding at ||| sales Positive Confident

So I'll take the first part of that question, which is our view on growth and product ||| products_services Positive Confident

And in 2014, we grew units 9%, 3x ||| Neutral

Well, a couple of different angles there ||| Neutral

Obviously, we're feeling good with the quarter ||| Neutral

We'll see what happens ||| Neutral

Yeah hey, Katy, it's Bill Osbourn here ||| Neutral

As in the past several quarters, our operating profit performance reflects deliberate choices to invest in our business and specifically in the customer to position AAP for the long-term ||| earnings Positive

As we dig into the drivers, the change in basket reflected two key factors ||| Neutral

We have competitors that are smaller than us ||| Neutral

Our inventory levels year-on-year are up $3 million, or basically flat year-on-year ||| Neutral

Things ebb and flow and go back and forth ||| Neutral

Research continues to be our largest and most profitable segment, representing approximately 72% of our combined full year 2016 company revenues and approximately 80% of total gross contribution ||| sales,earnings Positive Confident

This increase is driven partly by our continued investment in new product innovation, service delivery enablement and platform scaling and partly from absorbing our recent SOASTA acquisition ||| products_services,acquisitions Positive Confident

Well start with AIR MILES, and AIR MILES revenue decreased 6% to $181 million for the first quarter of 2017. The decrease is largely due to a 4% decline in AIR MILES redeemed which was expected given the elevated redemption activity in 2016. The burn rate which were miles redeemed divided by miles issued was still elevated during the first quarter of 2017 due to a backlog that carried over from 2016. But we expect it to normalize at about a 78% burn rates for full year 2017. AIR MILES adjusted EBITDA decreased 32% to $35 million or a 20% EBITDA margin ||| sales,earnings Negative

And that premium price clearly had a positive impact on our profitability in Q4. And it will continue to have an impact on our profitability in 2017. ||| earnings Positive Confident

Well, if youre referring to the profitability part, obviously these businesses as we grow them, we also have in place a discipline to make them gradually more profitable ||| earnings Positive Confident

Search revenue ex-TAC grew 8% and 9% in constant currency, driven by higher revenue per search and search volume ||| sales Positive Confident

And while Media growth rates have moderated more than we expected in the near term, we continue to remain bullish on the longer-term secular growth trends for our Media business, particularly in the OTT area, as more video content moves online ||| sales Positive Confident

I mean what were focused on is regardless of who the competitor might be, I think were focused on making our business better and were focused on continuing to be a leader in late model used cars ||| competition Positive

So broadly speaking, total Managed Document Services revenue growth outperformed signings as the higher market growth is coming from the SMB area ||| sales,products_services Positive Confident

Our momentum continues through this growth cycle and we continue to expect SubCom to grow approximately 5% in fiscal 2017 based upon our very strong backlog ||| sales Positive Confident

BrandLoyalty revenue and adjusted EBITDA decreased 6% to $152 million and 14% to $24 million respectively compared to the first quarter of 2016. The declines are largely due to program timing between years as well as unfavorable FX rates been a 3-point drag on both ||| sales,earnings Negative

This is an increase of 223 or 10% from a year ago ||| Neutral

So if you had to throw those 500,000 back into the mix which is why you heard Neil say that those don't show up in the IRS category growth numbers and they don't show up in our share counts because we always compare our stuff against the IRS ||| sales Positive Confident

So no change, no backing off on the drive and the pull for advanced technology ||| Neutral

So when you thinking of EPS then it will be our share if you thinking of operating it's a 100% also in the accounting books ||| earnings Neutral Confident

The work to determine our final 2018 market footprint in the Individual ACA-compliant business is not yet complete ||| Neutral Confident

Eliquis has now exceeded $1 billion in revenue in the quarter and is the leading NOAC in the U.S ||| earnings Positive Confident

This is very proactive ||| Neutral

On  go ahead ||| Neutral

iGo is just the first one of those ||| Neutral Confident

And so we have done some when they make sense ||| Neutral

The one you're specifically getting at is more like the Russian model, where there is a domestic payment scheme generated and created, and we have helped them put their technology together and connect with them and provide services that are value added from safety, security, cross-border approvals, transaction management to information and data, which are provided by our better capable systems than they have of their own ||| products_services Neutral

It's not concentrated ||| Neutral

We also saw momentum in strategic contractual areas, with strong results in Managed Print Services and continued good momentum in Instant Ink enrollment ||| products_services Positive Confident

Q4 revenue came in above the high end of our guidance range at $616 million, up 6% year-over-year or up 7% adjusted for foreign exchange movements ||| sales Neutral

This discipline will help us fund the investments in marketing, fund the investments in technology and in turn will strengthen our brands and our business ||| Positive

Office consumer revenue increased 15% and 14% in constant currency, primarily from recurring subscription revenue as well as growth in our subscriber base ||| sales Positive Confident

So we're bullish about the prospects for media ||| Neutral

Cereal is a tough category right now, but we have a stronger commercial plan in place, particularly as we get to 2018. And, of course, I like what we've done to our cost structure, which has driven continued margin expansion ||| op_costs Positive Confident

So the ability for people to contribute and to acquire assets is built into the product ||| products_services Neutral

So, Rod, let's just make sure we're level set ||| Neutral

Free cash flow was 11% higher than a year ago ||| Neutral

Our ABSG specialty business, which primarily focuses on physician-administered drugs, had another strong revenue quarter, with growth of just over 10%, driven mostly by increased volumes ||| earnings Positive Confident

So, finally, we're continuing to see growth in our commercial business, and is driven by a combination of innovation and some new deals ||| sales Positive Confident

And we're seeing the benefit from localization in a big way because we're able to place inventory in our stores in the right way ||| Positive

dollar over the past few months ||| Neutral

Sure, Stanley ||| Neutral

The UK appears to be stable ||| Neutral

They are, in the current moment, with a lot of products ramping, just in the last few months, you heard about the Ryzen ramp, you heard about EPYC, we talk about Vega, and obviously, their go-to-market cost will ramp up new products ||| op_costs,products_services Neutral

You and I, and I think everybody knows it ||| Neutral

With these two new sets of overall survival data, our message to physicians is simple and powerful ||| Neutral Confident

Note that these incentives are now being faced out over the course of the year, so as we look forward, we expect that vehicle production growth in China will continue to be front-end loaded in the first half of 2017. For the full year, we expect 4% growth in vehicle production in China and 2% growth in auto production globally ||| products_services Positive Confident

Top-line performance in 2016 came in better than we had projected in May 2016. And the guidance provided last year did not incorporate the select strategic exits we undertook this year ||| earnings Negative Confident

We said and knew that 2017 would not be in line with those long-term growth strategies, and we said the long-term growth is three to five years ||| sales Negative

And three, we have better in-store program in the second half ||| products_services Positive Confident

That's what's happening really in the cloud space as well, where a lot of the growth is coming in from in the cloud providers, is in switching today ||| sales Positive Confident

I think we can do better ||| Neutral

Adjusted operating margin was 7.8% and 1.4 percentage points in constant currency ||| op_costs Neutral Confident

I would like to thank all our employees for the role they play in our continued success ||| Neutral

For the full year, including LinkedIn, we continue to expect the CapEx growth rate to be lower than last year ||| sales,organic_expansion Positive Confident

And initiatives that might help us drive traffic and allow customers to consider Kohls as a stop instead of somewhere else, were going to consider ||| Positive

We do that without creating any kind of price impression amongst our competitors because they don't know we're doing it ||| competition Positive Confident

Examples of this improved mix includes SSDs where year-on-year revenue tripled, while in DRAM bits embedded in high-value solution for enterprise, cloud and graphics customers, together grew at a rate twice our overall DRAM bit output for the same period ||| sales Positive Confident

We are constantly looking at how we feel about our competitiveness versus other offers out there ||| competition Neutral

Because safety is so critical, the automotive industry requires certification of products up and down their value chain ||| products_services Negative

First, stepping back, putting it back in context, historically, Cigna's not participated in, or focused on the under 50 employer segment ||| products_services Neutral Confident

As you are a very correct observer, Jim ||| Neutral

We've reported strong sales performance and we have seen good progress from a regulatory perspective and from a clinical perspective ||| earnings Positive Confident

That's not an acceptable growth level for us ||| sales Positive Confident

revenue growth is still going to be the number one driver for us in terms of where overall margins are because our cost structure is about 40% fixed ||| sales,earnings,op_costs Positive Confident

Better retention should have the same impact that it had on SBS in the sense that you have sell that much less business in order to achieve the same growth rate or you can grow faster, like it's either you get the best of both worlds that you can choose which way depending on market conditions you want to move ||| sales Positive Confident

I think, it has been obviously a great growth rate, and we believe that we are absolutely growing faster than the competition, and the team is executing very well ||| sales,competition Positive Uncertain

We achieved outstanding financial results, with revenue strength across the Board ||| sales Positive Confident

So seeing it already and those newer products really think late 2018 and beyond before they really start to hit P&Ls ||| products_services Neutral Uncertain

I'll start and Bob can jump in, Stacy ||| Neutral

So, the best bundle is actually the  we're seeing higher demand for that, which you can translate into we're seeing a higher security attach rates to our solution, which we actually think is a very good growth driver ||| sales Neutral Uncertain

So that's all baked in ||| Neutral

Non-GAAP operating margin came in at 28% consistent with Q3 levels and down 1 point from the same period last year and at the high end of our guidance ||| sales,earnings Neutral

So, some of these things, online appraisals, I think thats one that will continue to evolve, even when we have it rolled that everywhere, it doesnt mean were done ||| Neutral

This is our highest level ever and web-direct continues to be our fastest growing channel, increasing more than 200 basis points in distribution mix year-over-year ||| Positive Confident

So what's really great is across the whole product set, which is what we were excited about, and it's also across all regions of the world ||| products_services Positive Confident

One, our drug company's largest customer Walgreens had added new commercial business which will benefit us and two, brand inflation realized in January will be a better revenue tailwind going forward ||| products_services Positive Confident

Additionally, we have a large expiry base in the fourth quarter, and our sales execution on renewals and upsell opportunities, while contemplated in our unearned revenue guidance, should also show up in a larger contracted-not-billed balance and commercial bookings growth ||| sales Positive Confident

We are also providing guidance on IFS and GFS revenue growth in 2017. IFS will continue to serve our U.S ||| sales Positive Confident

So, if you look at Remain Co ||| Neutral

And it's driven by growth of new business bookings in the range of 8% to 10% growth ||| sales Positive Confident

And so, we see that happening in the Netherlands, for example, in Belgium, and then, countries like England and France where we're starting to see parts of the population getting covered ||| earnings Neutral Confident

In fact, Goldfish became the number one snack cracker in the category over the last quarter ||| products_services Positive Confident

We're not big on telecom in China at the moment ||| Neutral

Some of that relationship has worked well ||| Neutral

First of all, it was a strange quarter for us in that, multiple hurricanes whether in the Texas Gulf Coast or across the Puerto Rico impacted, anybody who had operations there ||| op_risks Negative Dodgy

biscuits, as well as declines in gum ||| products_services Neutral Uncertain

Nothing in particular ||| Neutral

Turning to Talent Assessment & Other, adjusted revenue in the TA & Other segment declined by 4% compared to the year-ago quarter ||| sales Negative

It's about 2.6% so around ||| Neutral

So we still feel quite good about the opportunity, especially in some of the customers that have already moved to E3. And then in terms of gross margin, margin actually here has been steadily improving ||| sales,earnings Neutral Uncertain

Turning to Consulting, on a comparable basis, second quarter Consulting revenues increased by 6% on a reported basis and 8% FX-neutral, driven by a strong performance in our contract optimization business ||| sales Positive Confident

Yes, as you saw in the quarter, our Brightree growth was 13% constant currency if you didn't include any of the tuck-in acquisitions, and it's 15% constant currency, including the modest tuck-in acquisitions that we did throughout the year AllCall and so on into Brightree ||| earnings Positive Confident

At these revenue ranges, we expect GAAP gross margins of 65% and cash gross margins of 76% ||| sales,earnings Neutral

This is up sequentially from Q2, reflecting a strong demand for our new N20 and F20 products ||| earnings Positive Confident

They were higher to begin with in mid-market and the replatforming is really about strengthening our competitive position, driving faster growth and hopefully some modest improvement in margins as well because we do expect to get higher retention rates in the mid to long term as we get all of our clients onto one platform ||| sales,earnings Positive Confident

As a result, we expect GAAP EPS to be between $0.45 and $0.48 per share in the first quarter of 2017, including approximately $0.13 per share of acquisition and integration charges in Q1. And as in past years, the fourth quarter is expected to be our largest, with more than 50% of the full year Events revenue occurring in Q4. Finally, I'd like to spend a moment on the impact of foreign exchange, as it relates to our reported total contract value ||| sales,acquisitions Negative Uncertain

I just returned from the AAO meeting in San Diego this week and was excited to see the level of activity in our booth and the interest level in our products, especially for teenagers as we kickoff the summer teen season with our new teen-focused campaign ||| products_services Positive Confident

It's got to make sense from a return on capital perspective and from a risk perspective before we're willing to sign up, particularly for some of these large jumbo accounts ||| op_risks Positive Confident

You are absolutely right, Karl ||| Neutral

Our teams did a great job managing through some difficult circumstances recovering from the hurricanes ||| Positive

And year-to-date, we've been in the 27% range ||| Neutral

Good morning ||| Neutral

We have adopted this approach in a low interest rate environment to provide greater stability for the pension benefits earned by thousands of Kroger associates and retirees, and to manage these liability proactively or frankly, to avoid kicking the can down the road ||| op_costs Positive Confident

Three part all-flash arrays were up 33% ||| Neutral

In our third quarter, our all-flash array business grew 160% year-over-year to an annualized net revenue run rate of almost $1.4 billion, inclusive of all-flash FAS, EF, and SolidFire product and services ||| sales,products_services Positive Confident

We achieved a record $1.14 billion in Digital Media revenue in Q1 and exited the quarter with over $4.25 billion of Digital Media annualized recurring revenue, or ARR ||| sales Positive Confident

Again, its leveraging our assets ||| Positive

The adjusted gross contribution margin for Research was 68% or a 130 basis point decline compared to the second quarter of 2016 on a comparable basis ||| sales,earnings Negative

So, Vijay, thanks for the question ||| Neutral

I think you'll see quarters like Q2 that was 11% ||| Neutral

In our semi-custom business, unit shipments were up sequentially and down year-over-year as we enter the fifth year of the current game console sales cycle ||| sales Neutral

This quarter, the strengthening of the U.S ||| Neutral

I highlight that our non-GAAP financial results and forecasts include stock-based compensation and do not reflect a reduction to income tax expense related to available NOLs ||| Neutral

So, productivity will always be paramount in PepsiCo ||| products_services Positive Confident

Secondarily, we also did get benefit ||| Neutral

It could be significantly positive ||| Neutral

It's about 20 basis points per year ||| Neutral

Tim, on your question on the rollout of Excalibur, the new digital system, it's pretty much going along the path that we had previously said ||| Neutral

Thank you ||| Neutral

Moving to slide 9, our product sales were driven by growth in the U.S ||| products_services Neutral Confident

Our research continues to show that snacking occasions have increased throughout the day ||| products_services Neutral Confident

So, it's only about 6% ||| Neutral

I'd say that the biggest factor on the gross margin side is that we do see freight headwinds persisting in the second half as we do in the first half ||| op_costs Negative

The $42 million sequential growth in sequencing consumables represents the largest ever sequential dollar increase in our sequencing consumable business ||| earnings Positive Confident

We had anticipated, as stated during Q1 earnings, that Q2 revenues would be the weakest of the year, given product launch timing coupled with Q2 having the most challenging compare ||| sales,earnings,products_services Negative Uncertain

We do expect data center to grow meaningfully ||| Neutral

With that, I'll turn it over to Kevin ||| Neutral

Our Events business is back on track to deliver double-digit growth in 2017, and Consulting delivered another quarter of growth, following a very strong year-ago quarter ||| sales Positive Confident

Yes ||| Neutral

The key there is the procurement ||| Neutral

For the year, diluted earnings per share were $6.45, an increase of 18.1% compared to fiscal 2015. Now moving to some additional highlights, during the fiscal year, we opened four new stores in Mexico, bringing our total store count to 2,278 and selling square footage to 237 million square feet ||| earnings Neutral

So, hi, it's Keith, let me take this ||| Neutral

Other revenue growth was driven by Speedpay in the U.S ||| sales Positive Confident

We're more of an application security player ||| Neutral

We saw growth in every region, reflecting significant demand for our P25 LMR systems ||| sales Positive Confident

Lets hope this yields the same ||| Neutral

In this regard, the divestiture of our blood screening business, which closed yesterday, will increase our financial flexibility as we seek growth through acquisitions and other capital deployment activities ||| earnings Positive Confident

So, that's what caused some of the dislocation ||| Neutral

We continued to see growth, both in terms of the demand, as well as in terms of the inventory ||| sales Positive Confident

The main driver of the remaining 30 basis points of leverage was 27 basis points of payroll leverage, primarily the result of our new store leadership model ||| Positive

What I would say is we feel pretty good about the group side ||| Positive

Thanks James ||| Neutral

We have a decent sized business in Puerto Rico ||| Neutral

We are very pleased with the growth and execution of our Cloud Security business over the past few years ||| sales Positive Confident

And obviously, it doesn't happen in a vacuum ||| Neutral

Exclusive of the 53rd week, the onetime acquisition and integration cost of about $2.4 million and the Petsense SG&A expenses, SG&A grew only 6.7% over the prior year ||| op_costs Positive

And then relative to the profit statement ||| earnings Neutral

I'll talk a little bit about the overall plan ||| Neutral

We had the prelaunch in house in the month of August and the results are actually very promising ||| earnings Positive Confident

Products and Resources grew 13.2% year over year as a result of continued strong performance with our manufacturing and logistics clients ||| products_services Positive Confident

So as Tom mentioned, the declines we've seen in these large customers were much more significant in 2016. So the wraparound impact of that really began a little bit in Q4 and you're going to see that continue in Q1. And so some of it is the wraparound effect of these customers not having nearly the impact on the company growth rates as they did a year ago ||| sales Negative Dodgy

So, if we were to get comprehensive tax reform, that could potentially alleviate any future issues of repatriation of foreign profit, which should be a good thing for us ||| earnings Positive Confident

So it's probably more integrated actually than even the blood business that we do just recently divested ||| Neutral Confident

Specifically to Kashi, Michael, or to the ||| Neutral

Hi, Sherri ||| Neutral

For 2017, we would expect to improve our profile somewhat, but it would still not be profitable ||| earnings Negative Confident

Yes, Sterling said another way ||| Neutral

So, when you move from Q2 to Q3, that's relatively flat and basically what you're seeing there is the impact and the pressure from the stranded costs, from the short-term dilution of the acquisitions and some of the commodity cost pressures ||| op_costs,acquisitions Negative

We put resources at customers ahead of the curve, we did that you saw that and the operating in the intelligent cloud OpEx growth over the past few quarters, that execution is whats landing ||| sales Positive Confident

com/ir ||| Neutral

We're releasing a number of new capabilities ||| Neutral

That concludes our prepared remarks ||| Neutral

